# BEAST v1.8.1, r6542
# Generated Fri Jul 03 15:49:00 PDT 2015 [seed=1435963717157]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	H3N2.clock.rate	cluster.clock.rate	cluster.rates1	cluster.rates2	cluster.rates3	cluster.rates4	cluster.rates5	cluster.rates6	cluster.rates7	cluster.rates8	cluster.rates9	cluster.rates10	cluster.rates11	cluster.rates12	cluster.rates13	cluster.rates14	cluster.rates15	cluster.rates16	cluster.rates17	cluster.rates18	cluster.rates19	cluster.rates20	cluster.rates21	cluster.rates22	cluster.rates23	cluster.rates24	cluster.rates25	cluster.rates26	cluster.rates27	cluster.rates28	cluster.indicators1	cluster.indicators2	cluster.indicators3	cluster.indicators4	cluster.indicators5	cluster.indicators6	cluster.indicators7	cluster.indicators8	cluster.indicators9	cluster.indicators10	cluster.indicators11	cluster.indicators12	cluster.indicators13	cluster.indicators14	cluster.indicators15	cluster.indicators16	cluster.indicators17	cluster.indicators18	cluster.indicators19	cluster.indicators20	cluster.indicators21	cluster.indicators22	cluster.indicators23	cluster.indicators24	cluster.indicators25	cluster.indicators26	cluster.indicators27	cluster.indicators28	cluster.nonZeroRates	treeLikelihood	cluster.treeLikelihood	coalescent
0	-472019.71666681854	-5760.802798642815	-466258.9138681757	150.3804759975648	170.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0	-465761.8552166011	-497.05865157459	-1492.419068992375
10000	-27120.509261344596	-1755.0704005082625	-25365.438860836333	69.34861426701968	328.5459035296725	3.7322260850121682	0.2545419079067141	0.24452147599730353	0.24826001725370322	0.25267659884227917	8.941868772036481E-4	0.024740318422122626	0.41776692367602736	1.037545405882986	1.522626618293611	2.8912183112933145	0.5516390104601642	1.5390347425142208	0.5763280048559273	1.27213365362639	0.6650961631270378	0.7289757117945415	2.190610931516217	0.5061366516230643	0.8373264352027774	0.37748327273772236	0.6144444009050825	0.2550533485296815	2.4264339076643093	1.5586092329528403	0.22792627618194342	2.823317939080311	1.353025988104198	1.07769647575471	1.6907562647037342	0.7618037448095476	2.8336164526139003	3.8459312245560637	2.047159204380676	2.00497436866066	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	10.0	-24994.77414967491	-370.6647111614218	-1654.3823309910474
20000	-21169.64135607438	-1737.0032418726926	-19432.638114201687	64.51687830161733	363.01400105094416	4.948384034273135	0.2622001988563894	0.2245021428959415	0.24826001725370322	0.26503764099396593	5.723798137298847E-4	0.014456298895816958	0.4551751919000134	0.5160570553062884	0.5293282351733081	0.26426236663153424	0.2827445111408023	1.2618009225787699	0.5616095918136046	0.5185467024256455	0.03985128771946831	0.27777012548581054	0.2507974154965777	3.724289721511647	0.40237791868855366	0.17778038323887804	0.3125322242241148	0.04416726212197095	0.2836708474409525	0.7423466296878939	1.0498131890696267	0.5537413554519023	0.7785835147359483	1.5767284194837374	0.8415073741204018	1.2923414343735522	1.1882118890873634	1.2474442306464346	0.9052329294982504	1.8724493165470637	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	10.0	-19149.714522584756	-282.9235916169304	-1675.5866669167049
30000	-18099.262066980173	-1779.9679987813568	-16319.294068198815	69.77031837658994	480.17550554545966	5.119544923822558	0.2622001988563894	0.22883852224673293	0.23972210843884106	0.2692391704580367	4.3629570173905316E-4	0.010564349008725776	0.8483881746812231	0.10326582130761137	0.5310949645166462	1.0834061905950463	1.8897780424515513	1.5510454764070563	1.1161121126690057	0.6161102097841983	0.3557484768379744	0.37906805720412645	1.0720862186708147	0.9134926307672045	1.802413731776521	0.8649174546123028	1.149011589986369	1.0923658097171054	0.18487142070434817	1.5397502351376173	0.2613822408362626	1.8547982778341023	1.5177061557467928	2.0688085418065083	1.1142743292135553	1.7452817817084125	0.07483840734654361	0.641953747814129	2.0381189037004224	1.3594478278044306	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	11.0	-16100.43330605714	-218.86076214167343	-1716.654572553537
40000	-16380.674658255959	-1759.2011698115152	-14621.473488444444	71.89915400627225	419.45471628249965	4.930023841349593	0.27151690310793636	0.2269131983350586	0.23429283013073848	0.26727706842626664	4.0602379132765584E-4	0.008104633841850757	0.5560294386507193	0.6926972771743064	0.2821778171329431	1.8626789012436888	0.1913188773036244	0.446106793186046	1.7599087088544192	0.08899189607991581	1.4942711393296817	0.11359091248999542	0.20570149721177175	1.0316112327698113	0.23930388783762196	0.6276280822414538	0.19633774838193319	0.23248024553727775	0.8017580339324214	0.7140999200570441	0.6743676200223959	0.38487677308000384	0.9705400821447409	2.1302827011015757	2.2267910254302987	1.2291624333286872	1.637146374320967	0.46870804432153207	0.4415771735620068	0.9303633440841721	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	10.0	-14435.851874805328	-185.6216136391167	-1712.9759030932535
50000	-15273.108576206463	-1810.5991841735652	-13462.509392032898	80.59843725624758	483.90887045583156	5.281002998923817	0.281621288710816	0.22261479999908176	0.2261830942904346	0.26958081699966774	2.993658601536856E-4	0.007104910239597661	0.7473004354703318	0.02887708606555841	1.0066293366244075	0.5923314699207163	1.5167534375728415	0.8245018946484626	0.15195757044262476	0.6214605802887663	1.1728355313840413	0.01439224446062525	0.937854919223702	0.6531145425841056	0.2756895349520678	0.6507981005109281	0.03147876579709151	0.5371711297400273	0.6958231061803113	1.512678157987057	2.1720012381202647	1.7079671097969895	1.5974201731138826	3.147761480107398	0.4147075167144689	0.6108777486855212	0.41250883204888217	0.4404892286793898	0.18740067689920703	1.0308269373003898	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	9.0	-13311.746208105069	-150.76318392782878	-1765.228855629363
60000	-14714.423359835937	-1810.9808657135268	-12903.44249412241	96.7177163973164	521.9189007248834	5.7217474234448025	0.2977024225739122	0.22089070711714665	0.2200682712571611	0.26133859905178014	2.9219086078245644E-4	0.005924293368629775	1.2973141305956724	0.2356759913653578	0.48348130217621	0.7179269542373592	0.09361624806812996	0.1807553424824664	0.8999210421375303	0.5099754088977362	1.6303010191289447	0.12070087621498389	0.5169985610916028	1.777858249119026	1.1374005257686757	0.6344867164810969	0.9459037781746346	1.6577621336718331	0.15460993699601908	4.044181032985117	0.4451760511226591	1.0488282875462873	1.9828714642813576	2.9010561871021836	0.5919747886051379	4.867991209485037	0.7988320736203347	0.7988005302459205	0.8860138171106038	1.5966479037406587	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	9.0	-12754.594542891138	-148.84795123127236	-1760.2438405907092
70000	-14316.762125740555	-1791.3289254789102	-12525.433200261645	77.863266952023	492.4491097707075	5.552054900027908	0.31866129041150687	0.2103518140066448	0.219804365470993	0.2511825301108554	2.861725856783134E-4	0.004076732135399337	1.3915148800886659	0.29053686995374006	0.8546645372707581	0.6877239273248259	0.21078027118605763	2.5370297235697583	0.9282205676817886	0.14061807603743046	0.17043409863797276	0.16897871003344436	0.04711638974806613	2.40069633149646	0.8785881064799513	0.6419341820368483	1.284160428244678	0.47846855961733376	2.082226240127893	0.23919329615074128	0.5962366895469098	1.0535881540043586	0.6051683195540691	1.689551060855062	0.8898744633676948	0.21687565957329644	0.011992111633886193	1.8995149275088787	0.18565251031171226	0.11694123648504752	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	-12386.77173619879	-138.6614640628546	-1757.7834130328738
80000	-14069.210848745766	-1736.40520678857	-12332.805641957197	71.44173540870362	420.32007505105173	5.821615483916457	0.32653556468733835	0.2090286780115424	0.21650376745911493	0.24793198984200437	3.2372984612548926E-4	0.005619267751850685	0.7375183167582874	0.18841962326742795	1.1451242330945508	1.6769019868552586	0.19762630660209723	0.3674020355081321	0.019053320164191458	0.4398942382795192	0.23705711504384613	0.09925947212499292	0.5083751625669525	0.9555576478904403	0.15812247444080174	2.43493585930063	0.16559702583566238	0.7723259038597048	3.0077829133228695	0.3414637442164822	0.3444099783605376	1.9999488062734896	3.1668306953283083	2.8793670060392444	1.370989329930888	0.8617646509937863	1.0461452047767106	0.6245090743178279	0.2593821147734287	1.1417610289726108	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	9.0	-12208.632179750346	-124.17346220685103	-1696.1448440037452
90000	-13859.881194528722	-1698.254340362996	-12161.626854165726	74.24952189016791	340.1327459277859	5.423844851542925	0.3253372389225411	0.22548418336382314	0.20905405471308794	0.2401245230005478	3.61724426065961E-4	0.0039897566177940135	1.0851260019674978	0.6238130301576891	0.48903099986572024	1.0042549449102798	0.3373654327344718	0.5294257424755947	0.001460010480189458	0.14028254595395603	0.15089183701044762	0.6499181028381072	1.8869557852134626	0.12540958744560382	1.3604665817083899	0.9335075876982901	0.11018817612913992	0.3624494832824506	1.4227021169640568	1.6496290589731348	0.40230838966801163	1.794624721396102	0.6114156201762831	2.560976958793762	0.4535268448306181	2.260476069062926	1.7888624861007816	0.3403254821424529	1.477418380666284	0.44887911866485375	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	10.0	-12035.86611636183	-125.76073780389588	-1663.9373910457382
